programName,programOriginator,programType,programDistribution,programDescription,creditRequirement,maxDebtToIncome,blocks,neighborhoods,city-town,county,state,amountOfAssistance,limitFirstTimeHomeBuyers,householdIncomeRestrictions,amiLimit,ami,fixedRateMortgagesOnly,mortgageAmountNotToExceed,employerParticipationRequired,mustBePrimaryResidence,mustContributeAmount,mustEarnCounselingCertificate,requiresInspection,eligibilityLimitations,eligible,getStarted,atAGlance,canBeCombined,canBeCombinedWith,participatingLenders,programContact,programLink
Sample,,Closing Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenant Conversion Mortgage Program,????,Settlement Funds,,"Tenants buying the home they are currently renting may be eligible for the Tenant Conversion Program. Some City funds may be available for help with settlement costs. The minimum cash requirement is $1,000. If interested, please contact Robert Bartolini at 410-396-4159.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/state-mortgage-programs-and-homeownership-assistance
Public Safety Officers Tax Credit,Baltimore City Department of Finance,Tax Credit,,"The Public Safety Officers Tax Credit offers a credit against the Baltimore City real property tax imposed on the principal residence of sworn public safety officers serving full time in the Baltimore City Police Department, Baltimore City Fire Department, Baltimore City Sheriff’s Office, or the Baltimore City Public School System. The program provides up to a $2,500 property tax reduction each taxable year the property remains eligible.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/public-safety-officers-tax-credit/
High-Performance Newly Constructed Dwellings Property Tax Credit,Baltimore City Department of Finance,Tax Credit,,The High-Performance Newly Constructed Dwellings Property Tax Credit encourages the construction and purchase of new homes in Baltimore City. The program provides a 5-year property tax credit with the credit amount decreasing annually.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/newly-constructed-dwelling-property-tax-credit/
Home Improvement Property Tax Credit,Baltimore City Department of Finance,Tax Credit,,The Home Improvement Property Tax Credit encourages homeowners to make improvements to their primary residence which increase the assessed value of the property. The program provides a 5-year tax credit with 100% relief from the increase in your city property tax in the first year; the credit declines 20% each year for the following four years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/home-improvement-property-tax-credit/
Vacant Dwelling Property Tax Credit,Baltimore City Department of Finance,Tax Credit,,"The Vacant Dwelling Property Tax Credit encourages the renovation and reuse of residential vacant properties. The program provides a 5-year tax credit with 100% relief from the increase in your city property tax increase in the first year. The credit declines 20% each year for the following four years. The property must be cited as vacant and abandoned on a housing or building code violation notice for one year; or, have been owned by the Mayor and the City Council for more than one year, and are in need of substantial repairs to comply with applicable city codes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/vacant-dwelling-property-tax-credit/
Targeted Homeowners Tax Credit,Baltimore City Department of Finance,Tax Credit,,"Baltimore City’s Targeted Homeowners Tax Credit (THTC) provides owner-occupant Baltimore City residences a reduction on real property tax. The THTC is automatically calculated and applied to all properties designated as ‘Primary Residence’. Each year the City’s Department of Finance proposes a new THTC amount, which is then subtracted from the base property tax rate. In Fiscal 2020, the effective owner-occupied property tax rate is $2.048 per $100 of assessed value.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/targeted-homeowners-tax-credit/
Community Development Block Grant (CDBG) Homeownership Assistance Program,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"$5,000 for first-time homebuyers with a household income at or below 80 percent of area median income. Currently, this is $52,850 for a household of one, $60,400 for two, or $75,500 for four. Call Brenda Winston on 443-984-2264, or email brenda.winston@baltimorecity.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/homeownership-incentives
Live Near Your Work,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"This partnership with participating employers encourages homeownership near places of employment. The City matches employers' contributions between $1,000 and $2,500, for total incentives of $2,000-$5,000+, depending on the employer. Call Daibeth Saunders on 410-396-4159, or email daibeth.saunders@baltimorecity.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/homeownership-incentives
Buying Into Baltimore,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"The Buying Into Baltimore down payment and closing cost assistance incentive is awarded by lottery 10 business days after Live Baltimore’s Trolley Tour event. Thirty (30) homebuyers will be selected to receive funds from a pool of eligible applicants. Homebuyers must attend and complete all requirements of the Trolley Tour event. Following the event, incentive applicants have 10 business days to make an offer on a home, have the offer accepted, obtain a contract of sale, and submit required paperwork to be eligible for the lottery drawing. Contracts may not be signed prior to the Trolley Tour event date.",,,,,,,,5000,,FALSE,FALSE,,TRUE,"$517,500",FALSE,TRUE,1000,TRUE,,"You must earn a homeownership counseling certificate before making an offer on your home.
You must live in this home as your primary residence.
You must contribute at least $1,000 of your own money to your home purchase.
Your mortgage amount cannot exceed the current FHA mortgage limit of $517,500 for a single-family home.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
No household income restriction
Not limited to first-time homebuyers
Fixed-rate mortgages only. Co-signers, cash sales, and owner-financing are not permitted.",Homebuyers who have attended and completed requirements of Live Baltimore’s Trolley Tour event,Complete homeownership counseling and register for a Live Baltimore Trolley Tour event,"$5,000 down payment and closing cost assistance, 5-year",TRUE,,,,https://livebaltimore.com/resident-resources/financial-incentives/buying-into-baltimore/
Community Development Block Grant Homeownership Assistance Program,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,The Community Development Block Grant (CDBG) Homeownership Assistance Program provides down payment and closing cost assistance to eligible first-time homebuyers purchasing a home in Baltimore City.,,,,,,,,"$5,000",TRUE,TRUE,TRUE,80,TRUE,"$517,500",,TRUE,"$1,000",TRUE,TRUE,"You must earn a homeownership counseling certificate before making an offer on your home.
You must live in this home as your primary residence.
You must contribute at least $1,000 of your own money to your home purchase.
Your mortgage amount cannot exceed the current FHA mortgage limit of $517,500 for a single-family home.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
Household income cannot exceed 80% AMI
First-time homebuyers only
Requires a “Housing Quality Standard” (HQS) inspection
Fixed-rate mortgages only. Co-signers, cash sales, and owner-financing are not permitted.",Baltimore City homebuyers who meet income and other program requirements,Complete homeownership counseling and a program application,"$5,000",TRUE,,,,
Vacants to Value Booster,"Baltimore City Department of Housing and Community Development, Office of Homeownership",,,"The Vacants to Value Booster program is for properties that were subject to a vacant building notice for at least one year prior to (a) rehabilitation of the property by a developer, or (b) sale of the property to a homebuyer who intends to renovate the property using a rehabilitation loan. Please note: The eligibility guidelines for this program have been modified recently. A house is eligible for this program only if it was subject to a Vacant Building Notice for a year or more prior to its rehabilitation for sale to a home buyer. You can find more information about this change here.",,,,,,,,"$10,000",,FALSE,,,TRUE,"$517,500",,TRUE,"$1,000",TRUE,,"You must earn a homeownership counseling certificate before making an offer on your home.
You must live in this home as your primary residence.
You must contribute at least $1,000 of your own money to your home purchase.
Your mortgage amount cannot exceed the current FHA mortgage limit of $517,500 for a single-family home.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
No household income restriction
Not limited to first-time homebuyers
Fixed-rate mortgages only. Co-signers, cash sales, and owner-financing are not permitted.",Baltimore City homebuyers who purchase eligible properties,Complete homeownership counseling and a program application,"$10,000",TRUE,,,,
Buying Into Baltimore,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"$5,000 awarded by lottery to people who attend a Live Baltimore Trolley Tour and meet other conditions. Call Michael Guye on 410-396-4160, or email michael.guye@baltimorecity.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/homeownership-incentives
Baltimore City Employee Homeownership Program,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"$5,000 for employees of City and quasi-City agencies who have been employed for at least six months. Call Tanika Owens on 410-396-1319, or email tanika.owens@baltimorecity.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/homeownership-incentives
Vacants to Value Booster,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"$10,000 incentive for properties that were subject to a Vacant Building Notice for at least one year prior to (a) rehabilitation of the property by an investor/developer, or (b) sale of the property to a homebuyer who intends to renovate the property using an acquisition/rehabilitation loan. Call Michael Guye on 410-396-4160, or email michael.guye@baltimorecity.gov.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/homeownership-incentives
"Homeownership Incentives [Baltimore City Employee Homeownership Program, Buying Into Baltimore, Community Development Block Grant (CDBG) Homeownership Assistance Program, Direct Homeownership Assistance Program, Live Near Your Work , Vacants to Value Booster]","Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"The Office of Homeownership offers a variety of incentive programs to homebuyers purchasing in Baltimore City. These incentives can make buying a home more affordable by lowering your closing costs and boosting your downpayment.

All incentives require homeownership counseling from a City-approved homeownership counseling agency prior to writing an offer, and a minimum $1,000 investment from the homebuyer's own funds towards the purchase of the property. All incentives, with the exception of Live Near Your Work, are provided as five-year forgivable loans.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/homeownership-incentives
Live Near Your Work,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"The Live Near Your Work program is a partnership between Baltimore City and participating employers to encourage homeownership near places of employment. Baltimore City matches employers’ contributions between $1,000 and $2,500 in the form of a grant. The total amount of assistance depends on the employer’s participation.",,,,,,,,"$2,000 to $5,000+",,,,,TRUE,"$517,500",TRUE,TRUE,"$1,000",TRUE,,"You must earn a homeownership counseling certificate before making an offer on your home.
You must live in this home as your primary residence.
You must contribute at least $1,000 of your own money to your home purchase.
Your employer must participate in this program.
Your mortgage amount cannot exceed the current FHA mortgage limit of $517,500 for a single-family home.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
Fixed-rate mortgages only. Co-signers, cash sales, and owner-financing are not permitted.
Each participating employer may choose to limit their program by factors such as geographic area, employment status, income level, and other criteria. Contact your employer’s benefits administrator for full eligibility details.",Employees of participating employers who meet program requirements,Complete homeownership counseling and contact your employer’s benefits administrator,"$2,000 to $5,000+",TRUE,,,,
The Baltimore City Employee Homeownership Program,"Baltimore City Department of Housing and Community Development, Office of Homeownership",Down Payment & Closing Costs,,"Employees of City agencies and quasi-City agencies* with six months of experience are eligible for $5,000 when purchasing their first home in Baltimore City. Houses up to $417,000 in cost are eligible and no income limits apply. Police officers, firefighters and teachers are also eligible for purchasing HUD homes at discounted prices through the Good […]

Employees of City agencies and quasi-City agencies* with six months of experience are eligible for $5,000 when purchasing their first home in Baltimore City. Houses up to $417,000 in cost are eligible and no income limits apply. Police officers, firefighters and teachers are also eligible for purchasing HUD homes at discounted prices through the Good Neighbors program.

You can download an application for the Baltimore City Employee Homeownership Program here. For more information about this program, contact Marva Allette at 410-396-3124 or Marva.Allettte@baltimorecity.gov.

*Quasi-City Agencies currently include the following: Baltimore Area Convention and Visitors Association, Baltimore Convention Center, Baltimore Development Corporation, Baltimore Housing, Baltimore Main Streets, The Baltimore Museum of Art, Baltimore Office of Promotion and the Arts, Baltimore Rising, Downtown Partnership of Baltimore, Emerging Technology Center, Empower Baltimore Management Corporation, Enoch Pratt Free Library, Mayor’s Office of Employment Development, Mayor’s Office of Minority and Women-Owned Business Development, Parking Authority of Baltimore City, Small Business Resource Center, Visit Baltimore, Walters Art Museum, Waterfront Partnership of Baltimore",,,,,,,,5000,FALSE,FALSE,TRUE,80,FALSE,5175000,TRUE,FALSE,1000,FALSE,FALSE,"<ul><li>You must earn a homeownership counseling certificate before making an offer on your
home.</li><li>You must contribute at least $1000 of your own money to your home purchase.</li><li>You must live in this home as your primary residence.</li><li>Your employer must participate in this program.</li><li>Your mortgage amount cannot exceed the current FHA mortgage limit of $517500 for a single-family home.</li><li>Fixed-rate mortgages only. Co-signers, cash sales, and owner-financing are not permitted.</li><li>No household income restriction</li><li>Not limited to first-time homebuyers</li></ul>","Employees of Baltimore City agencies and quasi-City agencies
who meet program requirements",Complete homeownership counseling and a program application,"$5000 down payment and closing cost assistance, 5-year
forgivable loan",FALSE,"Program One, Program Two, Program Three",,,https://livebaltimore.com/resident-resources/financial-incentives/baltimore-city-employee-homeownership-program/
Historic Restoration and Rehabilitation Property Tax Credit,Baltimore City’s Commission for Historical and Architectural Preservation (CHAP),Tax Credit,,The Historic Restoration and Rehabilitation Property Tax Credit encourages homeowners to make improvements to properties located in historic districts in Baltimore City. Before beginning any renovation homeowners must submit an application outlining the renovation plans and that application must be approved by the Commission for Historical and Architectural Preservation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://livebaltimore.com/resident-resources/financial-incentives/historic-restoration-and-rehabilitation-property-tax-credit/
Settlement Expense Loan Program,Baltimore County Government,Deferred Then Forgiveable Second Mortgage,,"The Settlement Expense Loan Program (SELP) provides assistance to low and moderate income, first-time homebuyers. The County can lend up to $10,000 to income-eligible purchasers to help pay closing costs required in the purchase of an existing home within the designated Community Conservation Areas of Baltimore County.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baltimorecountymd.gov/Agencies/planning/housingopportunities/closingcostdownpayment.html
Affordable Loan Solution Program,Bank of America,3% Down Mortgage,,"Bank of America offers the Affordable Loan Solution Mortgage Program to help low-to-moderate income home buyers afford mortgages. The Affordable Loan Solution program, offered in conjunction with with Self-Help Ventures Fund and Freddie Mac, enables home buyers to buy a home with a down payment as low as 3.0% of the property purchase price with no minimum borrower financial contribution and no private mortgage insurance (PMI).

The most important feature of the Affordable Loan Solution program is that the borrower is NOT required to pay private mortgage insurance (PMI) or mortgage insurance premium (MIP)

Bank of America, Self-Help and Freddie Mac are collaborating on the Affordable Loan Solution program to offer borrowers a low down payment mortgage option that potentially saves them money as compared to other mortgage programs. Self-Help is a community development lender that focuses on borrowers underserved by traditional financial institutions. Freddie Mac is a government-sponsored enterprise that provides mortgage capital to lenders. In short, Freddie Mac buys mortgages from lenders which in turn enables lenders to offer more mortgages.

The Affordable Loan Solution Mortgage Program competes with the Wells Fargo yourFirst Mortgage, Fannie Mae HomeReady and FHA Mortgage programs. These programs also enable borrowers to buy a home with a down payment as low as 3.0% - 3.5% and no personal financial contribution. The programs, however, require borrowers to pay PMI or FHA mortgage insurance premium (MIP) which is an additional expense on top of your monthly mortgage payment. By eliminating PMI, the Affordable Loan Solution Program reduces your total monthly housing expense and potentially saves you money as compared to other no or down payment programs.

Review our comprehensive Comparison of Low / No Down Payment Mortgage Programs
Borrowers can combine a Affordable Loan Solution mortgage with a personal gift, employer program, down payment grant, closing cost assistance program or qualified subordinated second mortgage to pay for a down payment, closing costs or property renovations, allowing the borrower to purchase a home with no personal financial contribution. Down payment and closing cost assistance grants as well as qualified subordinated second mortgages, also referred to as Community Second mortgages, are provided through state or local housing agencies or commissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/affordable-loan-solution-mortgage-overview.html
Community Homeownership Commitment™ Program,Bank of America,Down Payment & Closing Costs,,"Bank of America is committed to helping you thrive through the power of homeownership. Bank of America Community Homeownership Commitment™ program provides solutions for modest-income and first-time homebuyers, including affordable mortgages, grant programs, resources and expertise.

Our Down Payment CenterFootnote1 is a resource to help search for programs you may be eligible for, including our America's Home Grant®Footnote2 and Down Payment Grant programFootnote3. Many state and local organizations offer programs that could help you with the up-front costs of buying a home also. When combined with a 3% down payment mortgage—such as our Affordable Loan Solution® mortgageFootnote4 and the Freddie Mac Home Possible® mortgageFootnote4—these programs can help make buying a home more affordable.

Simply select your state to search for programs you may be eligible for and then connect with your lending specialist about other down payment and closing cost options. If your state is not listed, please ask your lending specialist about other down payment and closing cost options. Up to $7,500 closing cost help
Qualified homebuyers may receive a lender credit for nonrecurring closing costs through our America's Home Grant® program in select markets.Footnote2

Select your state above to see if this program is available in your area.

Up to $10,000 in down payment help
Qualified homebuyers may receive 3% of the purchase price with a maximum $10,000 (whichever is less) through our Down Payment Grant program in select markets. Limited to two mortgage products.Footnote3

Select your state above to see if this program is available in your area.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://mortgage.bankofamerica.com/mortgage-down-payment-center
Affordable Loan Solution Program,Bank of America,3% Down Mortgage,,"Bank of America offers the Affordable Loan Solution Mortgage Program to help low-to-moderate income home buyers afford mortgages. The Affordable Loan Solution program, offered in conjunction with with Self-Help Ventures Fund and Freddie Mac, enables home buyers to buy a home with a down payment as low as 3.0% of the property purchase price with no minimum borrower financial contribution and no private mortgage insurance (PMI).

The most important feature of the Affordable Loan Solution program is that the borrower is NOT required to pay private mortgage insurance (PMI) or mortgage insurance premium (MIP)

Bank of America, Self-Help and Freddie Mac are collaborating on the Affordable Loan Solution program to offer borrowers a low down payment mortgage option that potentially saves them money as compared to other mortgage programs. Self-Help is a community development lender that focuses on borrowers underserved by traditional financial institutions. Freddie Mac is a government-sponsored enterprise that provides mortgage capital to lenders. In short, Freddie Mac buys mortgages from lenders which in turn enables lenders to offer more mortgages.

The Affordable Loan Solution Mortgage Program competes with the Wells Fargo yourFirst Mortgage, Fannie Mae HomeReady and FHA Mortgage programs. These programs also enable borrowers to buy a home with a down payment as low as 3.0% - 3.5% and no personal financial contribution. The programs, however, require borrowers to pay PMI or FHA mortgage insurance premium (MIP) which is an additional expense on top of your monthly mortgage payment. By eliminating PMI, the Affordable Loan Solution Program reduces your total monthly housing expense and potentially saves you money as compared to other no or down payment programs.

Review our comprehensive Comparison of Low / No Down Payment Mortgage Programs
Borrowers can combine a Affordable Loan Solution mortgage with a personal gift, employer program, down payment grant, closing cost assistance program or qualified subordinated second mortgage to pay for a down payment, closing costs or property renovations, allowing the borrower to purchase a home with no personal financial contribution. Down payment and closing cost assistance grants as well as qualified subordinated second mortgages, also referred to as Community Second mortgages, are provided through state or local housing agencies or commissions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freeandclear.com/programs/affordable-loan-solution-mortgage-overview.html
America’s Home Grant® program,Bank of America,Lender Credit,,"Our America’s Home Grant® program offers a lender credit of up to $7,500 that can be used towards non-recurring closing costs, like title insurance and recording fees, or to permanently buy down the interest rate. The funds do not require repayment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.bankofamerica.com/mortgage/affordable-housing-programs/
Down Payment Grant program,Bank of America,Down Payment,Grant,"Our Down Payment Grant program offers a grant equaling 3% of the home purchase price, up to $10,000, to be used for a down payment in select markets. Grant Program is currently limited to two specific mortgage products. Contact a lending specialist for more information. The funds do not require repayment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.bankofamerica.com/mortgage/affordable-housing-programs/
